global_index,episode_index,frame_index,state_lw0,action_lw0,state_lw1,action_lw1,state_lw2,action_lw2,raw_60k_lw0,raw_60k_lw1,raw_60k_lw2,repaired_80k_lw0,repaired_80k_lw1,repaired_80k_lw2,action_fixed_60k_lw0,action_fixed_60k_lw1,action_fixed_60k_lw2
33567,61,584,-0.2423444390296936,-0.22521980106830597,0.36078739166259766,0.3264000117778778,0.6546335220336914,0.6992846727371216,-0.23567891120910645,0.33105355501174927,0.638011634349823,-0.25419530272483826,0.33694595098495483,0.7572135329246521,-0.28467291593551636,0.35477524995803833,0.6692087054252625
33568,61,585,-0.23697438836097717,-0.21397310495376587,0.36040401458740234,0.3180832862854004,0.6634559631347656,0.6942601799964905,-0.2332373410463333,0.32948583364486694,0.6479745507240295,-0.2501385807991028,0.33599114418029785,0.7569311261177063,-0.2787172198295593,0.34710466861724854,0.6661914587020874
33569,61,586,-0.23582333326339722,-0.21397310495376587,0.3600196838378906,0.3180832862854004,0.6665259003639221,0.6942601799964905,-0.2340313047170639,0.3191151022911072,0.6588165760040283,-0.24140968918800354,0.33097225427627563,0.7448926568031311,-0.28339529037475586,0.363211452960968,0.6695625185966492
33570,61,587,-0.22815099358558655,-0.21397310495376587,0.3592529296875,0.3180832862854004,0.6730470061302185,0.6942601799964905,-0.22875019907951355,0.3127021789550781,0.6697007417678833,-0.23428288102149963,0.3270488381385803,0.7485184669494629,-0.2730979323387146,0.35185474157333374,0.6684255003929138
33571,61,588,-0.2220132052898407,-0.2038300335407257,0.35848522186279297,0.3111492395401001,0.6764994263648987,0.687782347202301,-0.23008978366851807,0.30070263147354126,0.6531846523284912,-0.2319786250591278,0.33486759662628174,0.7628259062767029,-0.2647990584373474,0.35212835669517517,0.6648075580596924
33572,61,589,-0.21971185505390167,-0.2038300335407257,0.35771846771240234,0.3111492395401001,0.6764994263648987,0.687782347202301,-0.22850650548934937,0.2992805242538452,0.6526382565498352,-0.23029832541942596,0.33477920293807983,0.7622211575508118,-0.2634623348712921,0.35095730423927307,0.6648176908493042
33573,61,590,-0.21971185505390167,-0.2038300335407257,0.35771846771240234,0.3111492395401001,0.6764994263648987,0.687782347202301,-0.2260998785495758,0.2986464500427246,0.6459710001945496,-0.2267918437719345,0.33391934633255005,0.7593074440956116,-0.2607989013195038,0.3510642349720001,0.655886173248291
33574,61,591,-0.21971185505390167,-0.2038300335407257,0.35771846771240234,0.3111492395401001,0.6764994263648987,0.687782347202301,-0.22611527144908905,0.29855769872665405,0.6458162069320679,-0.22687578201293945,0.333890438079834,0.7595070600509644,-0.26076024770736694,0.3510305881500244,0.6558070182800293
33575,61,592,-0.21971185505390167,-0.2038300335407257,0.35771846771240234,0.3111492395401001,0.6764994263648987,0.687782347202301,-0.21951857209205627,0.29372236132621765,0.639432430267334,-0.226807102560997,0.3350013494491577,0.7460368275642395,-0.2619980573654175,0.3522970676422119,0.6562837958335876
33576,61,593,-0.20858731865882874,-0.1904328167438507,0.3558006286621094,0.30130377411842346,0.6768836379051208,0.6759107708930969,-0.19540521502494812,0.28339147567749023,0.619547426700592,-0.21107682585716248,0.3235355019569397,0.7416764497756958,-0.24309447407722473,0.3415539264678955,0.6317570805549622
33577,61,594,-0.20858731865882874,-0.1904328167438507,0.3558006286621094,0.30130377411842346,0.6768836379051208,0.6759107708930969,-0.1962427943944931,0.28344759345054626,0.631697416305542,-0.20729634165763855,0.32399749755859375,0.7496581077575684,-0.23292863368988037,0.32458364963531494,0.6273074746131897
33578,61,595,-0.20858731865882874,-0.1904328167438507,0.3558006286621094,0.30130377411842346,0.6768836379051208,0.6759107708930969,-0.1969384402036667,0.2832605838775635,0.632685124874115,-0.20575863122940063,0.32229793071746826,0.7408636808395386,-0.23226606845855713,0.32284921407699585,0.6221229434013367
33579,61,596,-0.20743626356124878,-0.17539207637310028,0.3558006286621094,0.28704530000686646,0.6768836379051208,0.6542816162109375,-0.1790800243616104,0.267325758934021,0.5952742099761963,-0.19297505915164948,0.31510478258132935,0.7145140767097473,-0.22027379274368286,0.3266904354095459,0.5981796383857727
33580,61,597,-0.20743626356124878,-0.17539207637310028,0.3558006286621094,0.28704530000686646,0.6768836379051208,0.6542816162109375,-0.18189875781536102,0.26892754435539246,0.5990102887153625,-0.19565990567207336,0.31411394476890564,0.7111412286758423,-0.22341865301132202,0.3298454284667969,0.6029390096664429
33581,61,598,-0.20743626356124878,-0.17539207637310028,0.3558006286621094,0.28704530000686646,0.6768836379051208,0.6542816162109375,-0.19565941393375397,0.27734923362731934,0.591796875,-0.19187664985656738,0.3094981908798218,0.6831648945808411,-0.23473316431045532,0.33626049757003784,0.603515625
33582,61,599,-0.20743626356124878,-0.17539207637310028,0.3558006286621094,0.28704530000686646,0.6768836379051208,0.6542816162109375,-0.19576279819011688,0.277403324842453,0.5917432308197021,-0.19199080765247345,0.3088895082473755,0.682528018951416,-0.23456504940986633,0.33550429344177246,0.6008504629135132
33583,61,600,-0.20743626356124878,-0.17539207637310028,0.3558006286621094,0.28704530000686646,0.6768836379051208,0.6542816162109375,-0.20599621534347534,0.2792252004146576,0.6211937069892883,-0.20598658919334412,0.3092282712459564,0.6955872178077698,-0.22932115197181702,0.3238104581832886,0.601081907749176
33584,61,601,-0.17367801070213318,-0.1569349318742752,0.3239603042602539,0.2653745114803314,0.6638402938842773,0.6112025380134583,-0.17018797993659973,0.2348930835723877,0.589651882648468,-0.1712862104177475,0.28120696544647217,0.6622262001037598,-0.19329674541950226,0.27977117896080017,0.5638453364372253
33585,61,602,-0.17291121184825897,-0.1218375638127327,0.32242584228515625,0.21383248269557953,0.6584691405296326,0.5296756029129028,-0.15448814630508423,0.227190762758255,0.5607852339744568,-0.14372946321964264,0.2704162299633026,0.6239363551139832,-0.17533543705940247,0.2667771279811859,0.5509779453277588
33586,61,603,-0.17252790927886963,-0.1218375638127327,0.32204246520996094,0.21383248269557953,0.658085823059082,0.5296756029129028,-0.1472558230161667,0.2233155518770218,0.553149402141571,-0.14457258582115173,0.26779621839523315,0.6085194945335388,-0.17654025554656982,0.2600048780441284,0.5608619451522827
33587,61,604,-0.17252790927886963,-0.1218375638127327,0.32204246520996094,0.21383248269557953,0.658085823059082,0.5296756029129028,-0.15356256067752838,0.20683592557907104,0.5370878577232361,-0.13955025374889374,0.25673481822013855,0.5802704095840454,-0.1614278107881546,0.22764404118061066,0.5193144083023071
33588,61,605,-0.17252790927886963,-0.1218375638127327,0.32204246520996094,0.21383248269557953,0.658085823059082,0.5296756029129028,-0.15571103990077972,0.20322924852371216,0.5247979760169983,-0.14194698631763458,0.2515300512313843,0.5742001533508301,-0.16452035307884216,0.23062318563461304,0.5133634805679321
33589,61,606,-0.17252790927886963,-0.1218375638127327,0.32204246520996094,0.21383248269557953,0.658085823059082,0.5296756029129028,-0.14295034110546112,0.1985340565443039,0.501991868019104,-0.13695845007896423,0.25590944290161133,0.5740787982940674,-0.17127427458763123,0.23419514298439026,0.52813720703125
33590,61,607,-0.1614033579826355,-0.11701583117246628,0.3178224563598633,0.20880354940891266,0.6231774687767029,0.5246466994285583,-0.13512352108955383,0.18755178153514862,0.4996221363544464,-0.13178664445877075,0.2445666342973709,0.5370615720748901,-0.16081282496452332,0.21815934777259827,0.49876630306243896
33591,61,608,-0.14720973372459412,-0.09875782579183578,0.3078489303588867,0.14430704712867737,0.6043806076049805,0.4049886465072632,-0.11384223401546478,0.14661401510238647,0.4610813558101654,-0.09630438685417175,0.19688186049461365,0.4634438157081604,-0.14667028188705444,0.18703719973564148,0.4828861355781555
33592,61,609,-0.14605867862701416,-0.09875782579183578,0.3066978454589844,0.14430704712867737,0.6028461456298828,0.4049886465072632,-0.11396590620279312,0.14846007525920868,0.4617430865764618,-0.09277182817459106,0.20129983127117157,0.4718995690345764,-0.14514853060245514,0.19114920496940613,0.48375093936920166
33593,61,610,-0.1333986520767212,-0.09875782579183578,0.2829132080078125,0.14430704712867737,0.5813636779785156,0.4049886465072632,-0.1052870824933052,0.1243804395198822,0.4464912712574005,-0.08707496523857117,0.1930614858865738,0.4495580494403839,-0.13216336071491241,0.16333676874637604,0.4573882520198822
33594,61,611,-0.12380846589803696,-0.09825592488050461,0.2687196731567383,0.1438051462173462,0.5633344054222107,0.404486745595932,-0.09411785006523132,0.10608293116092682,0.426150918006897,-0.07996796071529388,0.17128480970859528,0.41895806789398193,-0.1118200346827507,0.14298288524150848,0.4107172191143036
33595,61,612,-0.12342516332864761,-0.09825592488050461,0.26833629608154297,0.1438051462173462,0.5625667572021484,0.404486745595932,-0.10318348556756973,0.09636327624320984,0.4071439802646637,-0.07813790440559387,0.16521340608596802,0.40061795711517334,-0.11326037347316742,0.12790271639823914,0.37715479731559753
33596,61,613,-0.1053958311676979,-0.07746262848377228,0.22191905975341797,0.08160005509853363,0.4904480576515198,0.28661155700683594,-0.09275512397289276,0.0488060787320137,0.3608502745628357,-0.05211690068244934,0.11170855164527893,0.29713165760040283,-0.0966208279132843,0.08444926142692566,0.34251075983047485
33597,61,614,-0.10309373587369919,-0.008315390907227993,0.21002769470214844,-0.05616172403097153,0.4716501533985138,0.07002205401659012,-0.08649607002735138,0.04149632900953293,0.34600111842155457,-0.04402323067188263,0.09705953299999237,0.27957358956336975,-0.08075663447380066,0.055911146104335785,0.33457332849502563
33598,61,615,-0.10309373587369919,-0.008315390907227993,0.21002769470214844,-0.05616172403097153,0.4716501533985138,0.07002205401659012,-0.08651585876941681,0.041600532829761505,0.34588077664375305,-0.0439823642373085,0.09724301099777222,0.2794954776763916,-0.08062256872653961,0.05570311099290848,0.334351122379303
33599,61,616,-0.10309373587369919,-0.008315390907227993,0.21002769470214844,-0.05616172403097153,0.4716501533985138,0.07002205401659012,-0.09037576615810394,0.036573342978954315,0.3564285337924957,-0.03473128378391266,0.11294691264629364,0.30512839555740356,-0.08813793957233429,0.06605014950037003,0.34558868408203125
33600,61,617,-0.05092209577560425,0.006116703152656555,0.10031414777040482,-0.0725632756948471,0.3239603042602539,0.03982538729906082,-0.08075188100337982,0.011122792959213257,0.27562016248703003,-0.006800442934036255,0.05472274124622345,0.11901622265577316,-0.08324071019887924,0.029935777187347412,0.26973360776901245
33601,61,618,-0.022919269278645515,0.013578605838119984,0.02205752767622471,-0.08198127895593643,0.18547630310058594,0.02191837504506111,-0.04555667191743851,-0.03781779110431671,0.23975586891174316,0.02325861155986786,-0.0440233051776886,0.011932551860809326,-0.0600711852312088,0.0017301589250564575,0.21020716428756714
33602,61,619,-0.0194670632481575,0.016901159659028053,0.01707077957689762,-0.0849454328417778,0.1674470603466034,0.017915619537234306,-0.04804003983736038,-0.03492163121700287,0.22984883189201355,0.021139085292816162,-0.0491105318069458,-0.0026083290576934814,-0.06294022500514984,-0.004080876708030701,0.19397741556167603
33603,61,620,0.003934290260076523,0.02233721688389778,-0.010548599064350128,-0.08859799057245255,0.10760308057069778,0.006695542484521866,-0.05420511215925217,-0.020704209804534912,0.22008198499679565,0.03374075889587402,-0.04786640405654907,-0.040500760078430176,-0.06783835589885712,0.012259498238563538,0.1933709681034088
